country_code,country_name,issuer,instrument_type,isin,coupon_percent,maturity_date,outstanding_eur,source_name,source_url,data_status
BE,Belgium,Kingdom of Belgium,OLO,BE0000338476,1.600000,2047-06-22,11064000000.00,Belgian Debt Agency,https://www.debtagency.be/en/productolostatistics,OFFICIAL_REFERENCE
BE,Belgium,Kingdom of Belgium,OLO,BE0000348574,1.700000,2050-06-22,11181000000.00,Belgian Debt Agency,https://www.debtagency.be/en/productolostatistics,OFFICIAL_REFERENCE
BE,Belgium,Kingdom of Belgium,OLO,BE0000355645,1.400000,2053-06-22,10639000000.00,Belgian Debt Agency,https://www.debtagency.be/en/productolostatistics,OFFICIAL_REFERENCE
BE,Belgium,Kingdom of Belgium,OLO,BE0000358672,3.300000,2054-06-22,10932000000.00,Belgian Debt Agency,https://www.debtagency.be/en/productolostatistics,OFFICIAL_REFERENCE
BE,Belgium,Kingdom of Belgium,OLO,BE0000361700,3.500000,2055-06-22,9802000000.00,Belgian Debt Agency,https://www.debtagency.be/en/productolostatistics,OFFICIAL_REFERENCE
BE,Belgium,Kingdom of Belgium,OLO,BE0000367764,4.350000,2056-06-22,7757000000.00,Belgian Debt Agency,https://www.debtagency.be/en/productolostatistics,OFFICIAL_REFERENCE
BE,Belgium,Kingdom of Belgium,OLO,BE0000343526,2.250000,2057-06-22,9426000000.00,Belgian Debt Agency,https://www.debtagency.be/en/productolostatistics,OFFICIAL_REFERENCE
BE,Belgium,Kingdom of Belgium,OLO,BE0000340498,2.150000,2066-06-22,8775000000.00,Belgian Debt Agency,https://www.debtagency.be/en/productolostatistics,OFFICIAL_REFERENCE
BE,Belgium,Kingdom of Belgium,OLO,BE0000353624,0.650000,2071-06-22,7370000000.00,Belgian Debt Agency,https://www.debtagency.be/en/productolostatistics,OFFICIAL_REFERENCE
DE,Germany,Federal Republic of Germany,BUBILL,DE000BU0E337,,2026-09-16,14000000000.00,German Finance Agency,https://www.deutsche-finanzagentur.de/bundeswertpapiere/handel/umlaufende-bundeswertpapiere,OFFICIAL_REFERENCE
DE,Germany,Federal Republic of Germany,SCHATZ,DE000BU22064,2.700000,2026-09-17,19000000000.00,German Finance Agency,https://www.deutsche-finanzagentur.de/bundeswertpapiere/handel/umlaufende-bundeswertpapiere,OFFICIAL_REFERENCE
DE,Germany,Federal Republic of Germany,BOBL,DE0001141844,0.000000,2026-10-09,24000000000.00,German Finance Agency,https://www.deutsche-finanzagentur.de/bundeswertpapiere/handel/umlaufende-bundeswertpapiere,OFFICIAL_REFERENCE
DE,Germany,Federal Republic of Germany,BUBILL,DE000BU0E345,,2026-10-14,12500000000.00,German Finance Agency,https://www.deutsche-finanzagentur.de/bundeswertpapiere/handel/umlaufende-bundeswertpapiere,OFFICIAL_REFERENCE
DE,Germany,Federal Republic of Germany,BUBILL,DE000BU0E352,,2026-11-18,12500000000.00,German Finance Agency,https://www.deutsche-finanzagentur.de/bundeswertpapiere/handel/umlaufende-bundeswertpapiere,OFFICIAL_REFERENCE
DE,Germany,Federal Republic of Germany,BUBILL,DE000BU0E378,,2026-12-09,11000000000.00,German Finance Agency,https://www.deutsche-finanzagentur.de/bundeswertpapiere/handel/umlaufende-bundeswertpapiere,OFFICIAL_REFERENCE
DE,Germany,Federal Republic of Germany,SCHATZ,DE000BU22072,2.000000,2026-12-10,19000000000.00,German Finance Agency,https://www.deutsche-finanzagentur.de/bundeswertpapiere/handel/umlaufende-bundeswertpapiere,OFFICIAL_REFERENCE
DE,Germany,Federal Republic of Germany,BUBILL,DE000BU0E360,,2027-01-13,13500000000.00,German Finance Agency,https://www.deutsche-finanzagentur.de/bundeswertpapiere/handel/umlaufende-bundeswertpapiere,OFFICIAL_REFERENCE
DE,Germany,Federal Republic of Germany,BUND,DE0001102416,0.250000,2027-02-15,30500000000.00,German Finance Agency,https://www.deutsche-finanzagentur.de/bundeswertpapiere/handel/umlaufende-bundeswertpapiere,OFFICIAL_REFERENCE
DE,Germany,Federal Republic of Germany,BUBILL,DE000BU0E386,,2027-02-17,11000000000.00,German Finance Agency,https://www.deutsche-finanzagentur.de/bundeswertpapiere/handel/umlaufende-bundeswertpapiere,OFFICIAL_REFERENCE
DE,Germany,Federal Republic of Germany,SCHATZ,DE000BU22080,2.200000,2027-03-11,18500000000.00,German Finance Agency,https://www.deutsche-finanzagentur.de/bundeswertpapiere/handel/umlaufende-bundeswertpapiere,OFFICIAL_REFERENCE
DE,Germany,Federal Republic of Germany,BUBILL,DE000BU0E394,,2027-03-17,8000000000.00,German Finance Agency,https://www.deutsche-finanzagentur.de/bundeswertpapiere/handel/umlaufende-bundeswertpapiere,OFFICIAL_REFERENCE
DE,Germany,Federal Republic of Germany,BUBILL,DE000BU0E402,,2027-04-14,8000000000.00,German Finance Agency,https://www.deutsche-finanzagentur.de/bundeswertpapiere/handel/umlaufende-bundeswertpapiere,OFFICIAL_REFERENCE
DE,Germany,Federal Republic of Germany,BOBL,DE0001141851,0.000000,2027-04-16,22000000000.00,German Finance Agency,https://www.deutsche-finanzagentur.de/bundeswertpapiere/handel/umlaufende-bundeswertpapiere,OFFICIAL_REFERENCE
DE,Germany,Federal Republic of Germany,BUBILL,DE000BU0E410,,2027-05-12,8000000000.00,German Finance Agency,https://www.deutsche-finanzagentur.de/bundeswertpapiere/handel/umlaufende-bundeswertpapiere,OFFICIAL_REFERENCE
DE,Germany,Federal Republic of Germany,SCHATZ,DE000BU22098,1.700000,2027-06-10,18000000000.00,German Finance Agency,https://www.deutsche-finanzagentur.de/bundeswertpapiere/handel/umlaufende-bundeswertpapiere,OFFICIAL_REFERENCE
DE,Germany,Federal Republic of Germany,BUBILL,DE000BU0E428,,2027-06-16,8000000000.00,German Finance Agency,https://www.deutsche-finanzagentur.de/bundeswertpapiere/handel/umlaufende-bundeswertpapiere,OFFICIAL_REFERENCE
DE,Germany,Federal Republic of Germany,BUND,DE0001135044,6.500000,2027-07-04,13750000000.00,German Finance Agency,https://www.deutsche-finanzagentur.de/bundeswertpapiere/handel/umlaufende-bundeswertpapiere,OFFICIAL_REFERENCE
DE,Germany,Federal Republic of Germany,BUBILL,DE000BU0E436,,2027-07-14,5500000000.00,German Finance Agency,https://www.deutsche-finanzagentur.de/bundeswertpapiere/handel/umlaufende-bundeswertpapiere,OFFICIAL_REFERENCE
DE,Germany,Federal Republic of Germany,BUND,DE0001102424,0.500000,2027-08-15,32500000000.00,German Finance Agency,https://www.deutsche-finanzagentur.de/bundeswertpapiere/handel/umlaufende-bundeswertpapiere,OFFICIAL_REFERENCE
DE,Germany,Federal Republic of Germany,BUBILL,DE000BU0E444,,2027-08-18,3000000000.00,German Finance Agency,https://www.deutsche-finanzagentur.de/bundeswertpapiere/handel/umlaufende-bundeswertpapiere,OFFICIAL_REFERENCE
DE,Germany,Federal Republic of Germany,SCHATZ,DE000BU22106,1.900000,2027-09-16,19000000000.00,German Finance Agency,https://www.deutsche-finanzagentur.de/bundeswertpapiere/handel/umlaufende-bundeswertpapiere,OFFICIAL_REFERENCE
DE,Germany,Federal Republic of Germany,BOBL,DE0001030740,1.300000,2027-10-15,10500000000.00,German Finance Agency,https://www.deutsche-finanzagentur.de/bundeswertpapiere/handel/umlaufende-bundeswertpapiere,OFFICIAL_REFERENCE
DE,Germany,Federal Republic of Germany,BOBL,DE0001141869,1.300000,2027-10-15,30000000000.00,German Finance Agency,https://www.deutsche-finanzagentur.de/bundeswertpapiere/handel/umlaufende-bundeswertpapiere,OFFICIAL_REFERENCE
DE,Germany,Federal Republic of Germany,BUND,DE0001102523,0.000000,2027-11-15,22000000000.00,German Finance Agency,https://www.deutsche-finanzagentur.de/bundeswertpapiere/handel/umlaufende-bundeswertpapiere,OFFICIAL_REFERENCE
DE,Germany,Federal Republic of Germany,SCHATZ,DE000BU22114,2.000000,2027-12-16,21000000000.00,German Finance Agency,https://www.deutsche-finanzagentur.de/bundeswertpapiere/handel/umlaufende-bundeswertpapiere,OFFICIAL_REFERENCE
DE,Germany,Federal Republic of Germany,BUND,DE0001135069,5.625000,2028-01-04,17000000000.00,German Finance Agency,https://www.deutsche-finanzagentur.de/bundeswertpapiere/handel/umlaufende-bundeswertpapiere,OFFICIAL_REFERENCE
DE,Germany,Federal Republic of Germany,BUND,DE0001102440,0.500000,2028-02-15,28500000000.00,German Finance Agency,https://www.deutsche-finanzagentur.de/bundeswertpapiere/handel/umlaufende-bundeswertpapiere,OFFICIAL_REFERENCE
DE,Germany,Federal Republic of Germany,SCHATZ,DE000BU22122,2.100000,2028-03-15,22000000000.00,German Finance Agency,https://www.deutsche-finanzagentur.de/bundeswertpapiere/handel/umlaufende-bundeswertpapiere,OFFICIAL_REFERENCE
